start,goal,distance,goal_risk_t150,std_late_risk,risk_late_risk,risk_reduction_pct_late,std_early_risk,late_interference_score,path_length_increase_pct_late,std_smoke_t150,risk_smoke_t150,smoke_reduction_t150
"(107, 52)","(13, 164)",146.21901381147393,0.0,18.230491124624486,7.246501767726173,60.25064975930297,0.0,18.230491124624486,5.222139045973034,34.406166,13.316572,21.089593999999998
"(27, 99)","(178, 31)",165.60495161679194,0.434203,59.58008135063613,42.76670149399663,28.21980010012186,2.2433784962094006e-05,59.580058916851165,8.597909743834386,95.207976,68.79846663,26.40950937000001
"(22, 41)","(142, 7)",124.72369462135092,0.444103,30.03512747237786,26.7644213709608,10.88960286392991,0.0,30.03512747237786,1.5660112429492534,43.4701507,42.876004,0.594146699999996
"(155, 125)","(116, 26)",106.4048871058092,0.307406,169.86304552,70.4668328176,58.51550135470572,84.06558962348734,85.79745589651264,29.80295407285521,104.167726,93.00559356,11.162132440000008
"(173, 5)","(19, 130)",198.3456578803781,0.0,70.95692101722449,21.587772496623106,69.57622711478312,4.2894853268615594e-05,70.95687812237122,43.991043361069785,100.012391,12.2999157,87.7124753
"(165, 92)","(12, 169)",171.283390905248,0.0,109.95921082634922,93.98363596198601,14.528637250400335,20.395556384102143,89.56365444224707,1.0220082563456823,94.607777,66.0028437,28.6049333
"(18, 75)","(99, 140)",103.85566907973777,0.303173,10.302946254857117,2.8132892458894085,72.69432280535153,0.0,10.302946254857117,11.958088063337609,24.716934000000002,6.3586623300000005,18.35827167
"(141, 167)","(159, 33)",135.20355024924456,0.459424,195.66722145,44.070194186591166,77.4769663206708,20.566105178250623,175.1011162717494,94.8392656214749,125.49939499999999,67.60868559000001,57.890709409999985
"(43, 105)","(12, 11)",98.97979591815695,0.0,0.0023789598989760264,0.0018183804353264386,23.564056875901,0.0,0.0023789598989760264,0.0,0.0,0.0,0.0
"(157, 60)","(130, 156)",99.72462083156798,0.341907,157.097122,74.59420535025176,52.51714073396472,77.16463211389895,79.93248988610107,74.18709480686476,97.87494899999999,92.19970516000001,5.675243839999979
